"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2012","5.46","6.30","6.36","5.25","5.76M","-13.47%"
"04/01/2012","5.20","5.46","5.51","4.84","7.59M","-4.74%"
"05/01/2012","5.41","5.25","5.79","5.01","7.60M","4.15%"
"06/01/2012","5.27","5.43","5.66","5.01","4.84M","-2.60%"
"07/01/2012","5.62","5.34","5.71","4.92","4.05M","6.56%"
"08/01/2012","6.01","5.59","6.28","5.30","3.53M","6.94%"
"09/01/2012","6.21","6.01","6.53","6.01","3.17M","3.28%"
"10/01/2012","7.17","6.21","7.34","6.07","4.09M","15.50%"
"11/01/2012","7.71","7.17","7.98","6.82","7.49M","7.57%"
"12/01/2012","7.90","7.80","8.08","7.51","6.65M","2.44%"
"01/01/2013","7.11","7.93","8.02","6.99","6.16M","-10.00%"
"02/01/2013","8.39","7.15","8.49","7.05","9.05M","18.00%"
"03/01/2013","8.43","8.38","9.04","8.23","6.20M","0.48%"
"04/01/2013","8.47","8.48","8.59","7.62","4.31M","0.47%"
"05/01/2013","10.12","8.45","10.34","8.36","9.06M","19.48%"
"06/01/2013","10.06","10.06","10.64","9.63","4.93M","-0.59%"
"07/01/2013","11.47","10.05","11.85","10.05","7.27M","14.02%"
"08/01/2013","11.43","11.49","12.25","11.22","4.43M","-0.35%"
"09/01/2013","11.43","11.50","11.99","11.07","6.09M","0.00%"
"10/01/2013","9.48","11.46","11.97","7.55","28.02M","-17.06%"
"11/01/2013","9.69","9.40","10.30","8.90","10.63M","2.22%"
"12/01/2013","10.28","9.72","10.29","9.09","6.73M","6.09%"
"01/01/2014","10.37","10.28","11.01","9.89","8.36M","0.88%"
"02/01/2014","11.87","10.39","11.95","9.80","7.75M","14.46%"
"03/01/2014","13.00","11.63","13.15","11.47","9.44M","9.52%"
"04/01/2014","13.43","13.00","13.77","12.13","6.32M","3.31%"
"05/01/2014","14.65","13.40","14.90","13.27","8.69M","9.12%"
"06/01/2014","13.45","14.89","15.34","13.15","6.64M","-8.22%"
"07/01/2014","12.52","13.38","14.04","12.38","6.39M","-6.88%"
"08/01/2014","12.63","12.40","13.05","10.61","6.07M","0.84%"
"09/01/2014","13.00","12.63","13.95","12.23","5.65M","2.93%"
"10/01/2014","14.43","12.95","14.49","11.05","8.47M","11.00%"
"11/01/2014","14.06","14.45","15.09","12.90","9.28M","-2.60%"
"12/01/2014","15.16","14.14","15.35","13.67","7.41M","7.90%"
"01/01/2015","17.89","15.15","17.95","14.81","8.14M","17.97%"
"02/01/2015","16.42","17.80","18.21","16.36","8.55M","-8.24%"
"03/01/2015","17.20","16.50","17.49","16.09","6.05M","4.81%"
"04/01/2015","16.43","17.25","18.18","16.25","5.48M","-4.48%"
"05/01/2015","16.44","16.49","17.49","15.01","10.01M","0.03%"
"06/01/2015","15.98","16.47","16.98","15.25","7.01M","-2.80%"
"07/01/2015","17.69","16.14","18.06","14.84","8.26M","10.70%"
"08/01/2015","16.69","17.65","18.88","15.09","5.65M","-5.62%"
"09/01/2015","18.11","16.45","18.88","15.88","7.71M","8.48%"
"10/01/2015","27.27","18.38","27.29","18.12","15.35M","50.61%"
"11/01/2015","26.50","26.98","28.17","24.75","8.64M","-2.84%"
"12/01/2015","26.67","26.54","28.24","26.22","5.04M","0.64%"
"01/01/2016","25.34","26.40","26.64","22.23","7.26M","-4.97%"
"02/01/2016","26.37","25.35","27.26","18.60","10.94M","4.04%"
"03/01/2016","27.60","27.02","28.50","25.83","6.80M","4.66%"
"04/01/2016","25.37","27.34","27.97","24.69","5.19M","-8.08%"
"05/01/2016","33.15","25.36","33.31","25.36","5.87M","30.67%"
"06/01/2016","33.01","33.26","33.99","27.13","5.83M","-0.42%"
"07/01/2016","36.72","33.19","38.88","32.57","5.04M","11.25%"
"08/01/2016","35.04","36.83","37.85","34.62","4.73M","-4.59%"
"09/01/2016","33.60","35.13","37.22","33.19","6.46M","-4.11%"
"10/01/2016","31.00","33.19","34.59","30.44","4.51M","-7.74%"
"11/01/2016","32.83","31.02","34.10","28.50","8.09M","5.92%"
"12/01/2016","33.80","32.74","33.96","30.56","4.37M","2.94%"
"01/01/2017","30.42","33.85","34.15","29.61","5.94M","-10.00%"
